salary_min,salary_max,salary_mean,rating_mean,rating_count,contract_contrat pro,contract_intérim,contract_temps plein,contract_indépendant,contract_cdd,contract_temps partiel,contract_cdi,contract_stage,contract_commission,contract_apprentissage,mode_an,mode_heure,mode_jour,mode_mois,mode_semaine,query_data+scientist,query_business+intelligence,query_data+analyst,query_developpeur
45000.0,60000.0,52500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
28000.0,36000.0,32000.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
33000.0,33000.0,33000.0,5.0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,50000.0,42500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
7200.0,7200.0,7200.0,0.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
40000.0,40000.0,40000.0,5.0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
28000.0,32000.0,30000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,70000.0,50000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
29580.0,47158.0,38369.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57600.0,76800.0,67200.0,4.2,6,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
96000.0,0.0,48000.0,3.5,336,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
29727.0,47207.0,38467.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
28000.0,40000.0,34000.0,4.2,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
28000.0,38000.0,33000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,37000.0,36000.0,3.8,156,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,35000.0,32500.0,4.0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,30000.0,30000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
22800.0,27600.0,25200.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
22000.0,32000.0,27000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
36000.0,45000.0,40500.0,3.4,65,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
72000.0,76800.0,74400.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
28000.0,35000.0,31500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
38000.0,48000.0,43000.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50000.0,50000.0,50000.0,5.0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
22000.0,32000.0,27000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
28000.0,38000.0,33000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,35000.0,35000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,65000.0,50000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,32000.0,31000.0,4.2,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
31000.0,38000.0,34500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
34000.0,40000.0,37000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,35000.0,32500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
44000.0,44000.0,44000.0,3.0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,55000.0,45000.0,5.0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
33000.0,42000.0,37500.0,0.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
28000.0,35000.0,31500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
34000.0,36000.0,35000.0,4.2,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
32000.0,32000.0,32000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,30000.0,30000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
33000.0,40000.0,36500.0,4.8,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,35000.0,32500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
67200.0,86400.0,76800.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
35000.0,55000.0,45000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
72000.0,72000.0,72000.0,0.0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
40000.0,50000.0,45000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
33000.0,40000.0,36500.0,4.8,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
21600.0,21600.0,21600.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
28000.0,28000.0,28000.0,3.4,81,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,45000.0,37500.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,50000.0,45000.0,5.0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,40000.0,37500.0,5.0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
31104.0,38016.0,34560.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
35000.0,45000.0,40000.0,5.0,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,3.3,21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,45000.0,37500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
57600.0,57600.0,57600.0,3.3,21,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
35000.0,50000.0,42500.0,3.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,35000.0,32500.0,5.0,5,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,3.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,40000.0,37500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
33000.0,33000.0,33000.0,3.4,81,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,45000.0,37500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
34000.0,34000.0,34000.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
34000.0,37000.0,35500.0,4.0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,43000.0,39000.0,4.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,3.3,21,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,40000.0,37500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
32000.0,40000.0,36000.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,45000.0,42500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,0.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,40000.0,37500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,50000.0,42500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
38000.0,45000.0,41500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
41000.0,56000.0,48500.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,40000.0,37500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,55000.0,45000.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
43000.0,50000.0,46500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,35000.0,32500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,40000.0,37500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
33000.0,40000.0,36500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,48000.0,44000.0,3.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,50000.0,45000.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
30000.0,40000.0,35000.0,4.2,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,43000.0,39000.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
40000.0,50000.0,45000.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,38000.0,36500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,40000.0,37500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
33000.0,45000.0,39000.0,4.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
38000.0,45000.0,41500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,40000.0,37500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
35000.0,45000.0,40000.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
38000.0,45000.0,41500.0,4.5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
43000.0,50000.0,46500.0,5.0,5,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
